player name,matches played,bat innings,bat runs,highest score,bat avg,bat sr,50s,100s,recent scores,bowl innings,overs,wickets,bowl avg,econ,bowl sr,recent bowling,role
George Diallo,233,146,4078,50,33.24,124.49,22,0,"3, 50, 24, 34, 21",0,0,0,0,0,0,,batter
Kwame Williams,259,205,647,39,27.82,124.34,0,0,"28, 21, 10, 2, 21",259,455,304,25.23,5.8,20.72,"0/2, 0/18, 4/12, 0/30, 2/10",bowler
Takumi Kaur,198,163,4487,115,33.97,184.28,36,2,"0, 2, 28, 0, 26",16,16.1,6,20.85,10.09,18.8,,batter
Mateo Sharma,137,117,1401,36,27.25,110.52,2,0,"9, 9, 29, 20, 15",137,335.5,111,26.89,5.95,16.82,"2/18, 1/18, 0/28, 1/27, 2/25",bowler
Noah Ali,318,203,7352,102,33.92,138.74,27,10,"1, 29, 4, 0, 50",21,22.2,3,16.02,9.55,17.11,,batter
Ibrahim Khan,165,142,1488,11,28.91,138.87,0,0,"11, 1, 8, 23, 2",165,427.2,162,39.42,7.7,27.69,"2/18, 0/14, 1/13, 2/26, 0/32",bowler
Nikhil Verma,225,178,3621,130,30.88,121.34,20,8,"7, 4, 36, 2, 34",22,54.3,6,25.47,10.99,40.71,,batter
Yusuf Singh,307,249,4055,103,18.13,127.1,48,12,"23, 15, 24, 24, 24",201,562.5,253,30.91,9.12,23.13,"1/19, 0/25, 2/23, 1/34, 0/29",allrounder
Farhan Ali,234,204,5337,100,39.95,155.89,25,5,"36, 36, 1, 70, 44",22,15.1,5,22.78,9.37,22.66,,batter
Zhang Fernandez,172,135,2505,116,27.85,138.73,14,5,"18, 42, 18, 6, 5",27,27.2,4,22.7,6.65,19.57,,batter
Takumi Mendes,152,107,1683,104,30.26,144.14,15,5,"32, 1, 25, 6, 24",0,0,0,0,0,0,,batter
Pedro Okoro,315,267,7998,112,30.45,146.92,18,5,"8, 45, 7, 31, 6",166,435.3,257,18.97,4.94,22.46,"3/19, 0/18, 0/14, 0/6, 0/14",allrounder
Victor Yamamoto,160,113,2868,126,26.91,97.83,23,1,"3, 67, 37, 4, 26",110,272.1,108,27.13,9.83,26.98,"0/30, 1/19, 0/17, 0/18, 1/26",allrounder
George Moretti,96,59,852,129,18.05,99.06,3,3,"1, 18, 26, 9, 0",25,41.3,6,52.16,7.14,18.16,,batter
George Dlamini,233,198,1326,25,30.22,139.61,1,0,"23, 29, 24, 29, 14",233,440.3,258,24.41,6.01,18.43,"1/24, 2/26, 2/20, 2/18, 0/6",bowler
Noah Kumar,180,127,3386,122,22.45,114.96,11,1,"13, 35, 22, 46, 8",84,208.1,118,26.23,6.53,17.45,"2/22, 0/15, 0/20, 1/22, 1/19",allrounder
Ayaan Lee,113,94,708,24,22.2,178.16,2,0,"2, 18, 17, 7, 25",113,183.5,116,17.76,5.19,15.86,"1/33, 1/15, 2/20, 2/23, 0/22",bowler
Mateo Deshmukh,318,225,1134,30,25.6,113.45,3,0,"16, 7, 6, 29, 6",318,659.5,302,36.2,9.04,31.16,"2/22, 1/29, 4/17, 0/33, 1/25",bowler
Yusuf Mehta,52,45,1058,107,27.34,135.76,11,1,"3, 36, 1, 8, 51",9,13.4,2,47.32,13.5,28.78,,batter
Omar Brown,268,178,4307,106,34.79,121.56,37,6,"53, 8, 9, 29, 30",21,39.3,3,21.32,8.17,16.43,,batter
Omar Silva,295,263,8124,120,35.62,109.13,25,10,"1, 45, 3, 7, 55",130,311.3,233,26.85,8.95,19.29,"0/32, 2/33, 2/13, 0/29, 1/24",allrounder
Ahmed Lopez,113,94,2462,103,35.12,158.29,8,3,"7, 39, 20, 2, 24",71,232.5,98,26.78,11.77,9.74,"1/29, 2/37, 0/13, 1/16, 0/29",allrounder
Ibrahim Kaur,101,64,996,8,29.32,138.75,1,0,"2, 0, 3, 24, 4",101,202.2,118,21.07,5.11,23.29,"1/17, 0/14, 2/13, 3/23, 0/25",bowler
Pedro Mensah,113,87,2020,104,24.03,130.88,12,3,"35, 40, 40, 31, 4",16,12,11,28.14,6.05,16.94,,batter
Pedro Johnson,81,73,953,121,21.87,180.69,6,3,"20, 19, 3, 9, 3",21,24,4,23.44,11.46,19.55,,batter
Wei Costa,187,139,381,26,6.15,87.61,0,0,"0, 14, 4, 12, 7",187,231,194,50.95,9.26,16.97,"1/32, 0/30, 0/32, 1/43, 1/34",bowler
Takumi Reddy,113,74,2282,104,48.35,96.03,16,1,"73, 3, 50, 14, 3",54,128.5,70,23.17,8.23,16.81,"1/20, 0/22, 0/23, 2/22, 0/28",allrounder
Farhan Singh,2,1,32,42,28,106.41,0,0,"28, 10, 41, 39, 25",0,1.5,1,13.94,7.45,14.47,"1/14, 0/32, 1/15, 3/25, 0/13",allrounder
Carlos Fernandez,130,98,814,19,21.84,128.61,0,1,"7, 4, 27, 8, 0",130,218.1,150,23.47,6.81,25.43,"0/25, 4/30, 0/21, 0/26, 0/20",bowler
Arjun Anderson,220,181,1290,25,27.46,145.4,1,1,"3, 2, 1, 7, 22",220,1056.5,241,25.52,9.41,12.34,"0/29, 2/19, 1/37, 1/28, 0/16",bowler
Moses Lee,54,44,1032,105,31.79,97.18,3,1,"55, 33, 26, 26, 15",0,0,0,0,0,0,,batter
Rajiv Watanabe,343,247,3923,104,25.89,142.52,18,6,"22, 36, 17, 23, 19",28,18.5,7,27.51,7.95,16.88,,batter
Chinedu Nguyen,224,149,714,121,6.28,110.46,24,6,"5, 8, 2, 0, 1",132,265.4,146,19.47,6.66,16.01,"1/22, 1/26, 3/23, 2/30, 3/16",allrounder
Diego Mensah,225,179,169,19,15.7,77.24,0,0,"8, 1, 13, 13, 3",225,432.2,265,23.36,6.88,23.59,"2/17, 3/22, 0/22, 0/14, 2/17",bowler
Ahmed Garcia,126,92,1281,122,19.58,148.33,13,1,"11, 5, 30, 13, 38",21,19.3,9,42.46,8.52,38.35,,batter
Kwame Sharma,130,83,1803,68,24.68,106.73,11,0,"31, 9, 8, 11, 12",20,10.5,3,25.37,9.08,24.63,,batter
George Adeyemi,53,46,809,26,37.76,149.62,0,0,"29, 5, 10, 2, 7",53,98.5,55,37.12,9.76,32.84,"0/27, 0/36, 0/44, 1/14, 1/43",bowler
Akash Chukwu,172,139,1920,100,26.64,105.39,23,2,"1, 32, 25, 13, 20",30,64.1,19,43.79,6.38,26.32,,batter
Kwame Iyer,218,175,3530,104,32.94,120.57,9,3,"41, 17, 22, 45, 45",21,42.2,4,58.32,10.37,32.61,,batter
Rafael Costa,160,135,1385,32,27.62,136.37,0,0,"2, 13, 27, 12, 12",160,526.3,150,24.41,6.37,17.81,"0/17, 1/26, 0/18, 0/30, 3/30",bowler
Akash Watanabe,198,150,246,18,11.52,89.83,0,0,"1, 12, 28, 18, 26",198,309.1,186,48.85,10.08,35.22,"1/34, 1/41, 0/23, 0/32, 0/30",bowler
Arjun Mehta,247,209,926,31,26.77,179.16,0,0,"5, 15, 1, 7, 16",247,329.5,255,35.73,6.45,30.6,"0/32, 0/30, 0/29, 1/24, 0/18",bowler
Wei Brown,324,243,6250,118,43.89,183.02,21,2,"60, 46, 7, 1, 18",0,0,0,0,0,0,,batter
Ayaan Torres,203,126,607,32,13.9,112.16,0,0,"22, 1, 9, 27, 15",203,222.2,165,28.05,5.84,25.59,"3/7, 0/30, 2/18, 0/36, 2/14",bowler
Farhan Anderson,184,133,1772,102,20.03,106.31,26,6,"22, 3, 8, 14, 18",13,16.5,2,21.07,8.19,30.76,,batter
Daniel Watanabe,123,92,1298,101,13.22,124.57,13,3,"15, 18, 5, 32, 21",16,19,4,26.74,9.94,31.85,,batter
Haruto Watanabe,255,208,273,30,11.68,88.93,0,0,"5, 27, 1, 1, 25",255,689.5,284,22.4,4.92,36.87,"1/18, 0/10, 0/15, 0/9, 0/17",bowler
Lucas Singh,294,186,699,6,22.71,124.59,0,0,"12, 23, 14, 27, 1",294,329.5,291,32.98,6.61,26.09,"1/14, 0/23, 0/23, 1/23, 1/30",bowler
Rafael Mendes,280,180,5271,78,28.39,136.2,20,0,"41, 48, 44, 67, 37",193,559.4,181,45.64,8.95,30.34,"2/28, 1/21, 0/15, 0/34, 2/33",allrounder
Chinedu Reddy,325,221,1284,29,20.15,124.69,1,0,"6, 2, 7, 22, 13",325,456.5,381,22.33,9.54,11.78,"1/20, 0/22, 2/12, 0/23, 3/27",bowler
Diego Iyer,98,67,1240,7,36.04,120.36,0,0,"23, 29, 22, 26, 21",98,254.3,110,28.43,6.8,21.29,"1/34, 2/22, 1/14, 2/18, 3/22",bowler
Kofi Jones,198,162,3310,121,35.79,166.24,29,5,"23, 1, 2, 38, 20",34,41.1,11,54.79,7.82,23.91,,batter
Wei Nguyen,240,162,2704,111,24.19,163.69,10,2,"6, 9, 17, 6, 4",25,41.1,15,63.82,7.78,33.52,,batter
George Mensah,144,114,792,113,7.64,151.98,16,2,"13, 1, 4, 4, 1",11,21.4,5,18.93,8.82,14.35,,batter
Henry Ali,97,73,2258,117,30.64,125.87,12,3,"24, 3, 20, 51, 44",0,0,0,0,0,0,,batter
Farhan Williams,201,155,3794,118,34.41,88.5,17,2,"17, 50, 57, 7, 25",117,289.2,158,31.49,6.47,22.16,"1/21, 2/29, 1/19, 0/28, 0/33",allrounder
Lucas Nguyen,124,106,1720,123,20.65,168.36,15,5,"3, 7, 7, 14, 19",27,26.4,8,43.67,10.61,40.19,,batter
Sunil Torres,187,135,2755,64,27.51,144.16,11,0,"5, 40, 13, 39, 2",85,276.2,140,18.48,5.86,15.99,"1/16, 1/29, 1/33, 1/12, 0/11",allrounder
Rohan Costa,326,271,1099,12,33.64,141.13,2,0,"28, 6, 20, 6, 0",326,543.2,366,20.96,9.22,16.78,"0/16, 2/18, 0/35, 0/25, 0/20",bowler
Haruto Baker,349,254,1336,37,28.14,166.56,0,1,"16, 8, 29, 20, 12",349,1107.3,291,33.17,10.01,15.62,"0/21, 0/39, 0/19, 2/25, 1/32",bowler
Wei Khan,259,183,28,39,4.78,75.05,0,0,"20, 18, 20, 18, 24",259,360.1,269,24.41,7.39,15.13,"0/8, 2/23, 2/21, 0/27, 0/19",bowler
Hiroshi Singh,148,131,317,10,12.3,97.65,0,0,"24, 21, 16, 22, 22",148,151.5,163,25.01,8.96,22.1,"0/22, 0/23, 0/25, 0/24, 1/16",bowler
Pedro Khan,252,165,746,27,25.79,129.37,0,0,"29, 9, 9, 3, 7",252,533.2,259,40.57,8.68,30.26,"2/25, 1/30, 1/28, 3/23, 0/14",bowler
Kwame Fernandez,346,217,4913,104,25.16,139.73,30,6,"52, 5, 35, 4, 3",0,0,0,0,0,0,,batter
Carlos Reddy,147,122,710,29,24.42,106.87,3,0,"21, 19, 19, 17, 13",147,197.4,143,38.67,10.27,28.79,"1/22, 0/28, 0/29, 1/23, 0/21",bowler
Anil Khan,148,92,2406,118,26.02,107,14,3,"2, 4, 4, 40, 32",18,26.2,7,32.95,7.78,21.53,,batter
Wei Iyer,199,169,3634,103,26.86,98.51,34,4,"23, 57, 22, 3, 6",0,0,0,0,0,0,,batter
Daniel Baker,308,225,1332,23,37.16,135.09,3,1,"17, 27, 13, 19, 20",308,901.5,295,14.66,12.31,9.22,"0/23, 0/30, 1/22, 1/40, 1/34",bowler
Rohan Okoro,128,112,1699,111,22.17,138.68,24,4,"23, 17, 13, 17, 8",18,13,4,20.25,7.19,16.97,,batter
Zhang Torres,39,32,583,125,24.73,100.85,3,1,"1, 0, 0, 27, 12",26,65.5,31,27.78,6.92,18.99,"0/20, 1/26, 1/6, 1/20, 3/26",allrounder
Nikhil Watanabe,338,265,3958,105,14.95,94.15,57,10,"24, 32, 0, 2, 16",171,570.1,234,27.12,6.48,25.03,"1/24, 1/23, 3/24, 1/10, 0/28",allrounder
Ibrahim Iyer,129,114,2827,126,37.68,159.32,8,4,"27, 1, 48, 0, 6",76,194.3,113,20.97,7.55,13.2,"0/16, 1/29, 0/23, 1/29, 2/10",allrounder
Julian Anderson,267,192,3683,105,29.36,177.21,43,1,"6, 61, 32, 7, 50",22,14.5,6,22.97,6.6,19.25,,batter
Santiago Okoro,151,134,2175,101,21.64,125.85,20,2,"15, 7, 25, 26, 1",20,28.5,4,25.03,9.71,22.63,,batter
George Patel,298,191,3321,122,30.81,74.69,21,8,"40, 26, 22, 6, 39",202,611.5,169,18.38,7.07,13.14,"1/15, 1/24, 1/19, 0/22, 1/12",allrounder
Arjun Jones,99,74,1239,9,35.83,145.61,0,0,"23, 14, 21, 29, 3",99,177.5,92,13.25,6.92,10.93,"0/30, 3/26, 2/18, 1/22, 1/17",bowler
Zhang Mendes,263,179,6412,107,46.33,141.98,24,1,"4, 74, 102, 17, 2",178,563.5,174,30.13,7.06,20.25,"0/25, 2/29, 0/17, 0/27, 1/26",allrounder
Wei Taylor,252,192,5642,118,45.83,124.07,48,3,"44, 8, 6, 53, 23",123,289.2,156,29.75,7.53,17.65,"2/11, 0/21, 1/25, 3/11, 1/20",allrounder
Yusuf Ali,144,93,289,111,4.51,171.22,9,1,"5, 0, 5, 2, 6",82,198.1,93,26.14,7.4,29.27,"2/21, 1/17, 0/24, 0/14, 0/10",allrounder
Ahmed Kaur,346,295,7901,108,29.43,134.51,21,14,"12, 25, 9, 25, 55",40,26.2,7,17.86,7.59,22.75,,batter
George Reddy,112,96,3256,102,49.63,110.07,16,4,"52, 47, 52, 52, 52",21,11.5,3,26.64,6.16,16.87,,batter
Farhan Reddy,60,53,570,105,14.16,137.12,8,1,"14, 6, 20, 16, 6",28,67.1,49,8.85,6.61,10.5,"2/16, 1/16, 3/17, 4/17, 0/19",allrounder
Liam Nguyen,2,1,34,76,30.57,130.66,1,0,"9, 39, 46, 37, 34",24,34.5,10,27.78,7.96,22.08,,batter
Victor Okoro,304,239,4460,108,22,120.33,44,9,"28, 32, 26, 3, 2",29,18.2,0,21.99,9.78,21.07,,batter
Ibrahim Dlamini,254,189,706,15,24.14,131.24,1,1,"12, 26, 22, 7, 17",254,369.5,302,17.45,6.4,19.25,"3/29, 1/14, 0/19, 1/23, 2/14",bowler
George Sharma,140,98,2339,128,29.98,76.61,23,5,"8, 42, 59, 42, 54",82,302.2,91,16.31,4.52,26.77,"0/9, 0/11, 1/20, 0/24, 0/10",allrounder
Rafael Smith,37,26,238,16,8.92,69.63,0,0,"11, 22, 13, 1, 17",37,40.2,41,35,7.26,20.63,"0/34, 0/9, 1/27, 0/21, 1/24",bowler
Daniel Williams,160,116,1170,14,25.88,135.47,2,0,"23, 1, 10, 8, 11",160,360.3,168,28.16,10.06,18.32,"0/21, 1/29, 2/28, 1/20, 2/28",bowler
Kwame Adeyemi,9,7,133,57,30.86,124.42,1,0,"1, 4, 57, 38, 20",25,20,4,24.01,7.44,24.51,,batter
Santiago Chukwu,233,182,1345,12,17.89,109.12,0,1,"16, 14, 24, 16, 25",233,599.3,244,25.27,8.28,30.22,"1/23, 1/25, 0/19, 1/30, 0/16",bowler
Ibrahim Yamamoto,99,73,2508,106,43.41,133.4,8,3,"54, 5, 70, 32, 0",66,236.5,49,22.14,4.93,22.16,"2/12, 1/20, 1/16, 1/11, 1/8",allrounder
Rajiv Reddy,147,92,1487,120,21.88,114.1,16,3,"24, 27, 22, 24, 21",25,55.2,8,31.3,7.86,37.22,,batter
Ibrahim Brown,304,189,358,28,16.82,80.55,0,0,"28, 25, 17, 21, 5",304,527.1,303,34.01,8.35,25.43,"0/21, 0/19, 1/24, 0/31, 0/26",bowler
George Khan,208,125,2673,116,29.64,143.23,17,5,"19, 23, 30, 4, 11",134,281.4,106,40.83,6.8,23.04,"1/14, 2/15, 0/23, 1/26, 0/14",allrounder
Mateo Okoro,131,117,903,32,34.03,126.25,2,1,"16, 22, 23, 17, 7",131,176.1,115,17.03,4.58,17.27,"1/12, 5/12, 1/13, 2/18, 0/8",bowler
Haruto Silva,152,91,1528,25,17.66,180.88,1,0,"8, 5, 4, 11, 24",152,168.3,165,25.64,5.94,13.95,"1/20, 1/27, 0/31, 1/30, 3/22",bowler
Rajiv Johnson,54,34,64,12,11.48,65.63,0,0,"28, 27, 10, 24, 0",54,62.5,49,11.36,7.1,10.78,"3/24, 2/18, 2/28, 0/29, 2/20",bowler
Daniel Mehta,120,83,1532,102,26.73,119.83,18,1,"9, 28, 29, 32, 32",20,39.5,4,28.9,7.72,19.61,,batter
Ayaan Tanaka,161,136,4683,100,38.56,102.74,33,2,"43, 2, 3, 80, 60",24,16.2,4,29.96,6.1,18.27,,batter
Victor Watanabe,116,103,3241,55,38.4,160.82,15,0,"9, 55, 3, 55, 5",46,93.5,96,12,7.11,11.52,"1/30, 3/24, 2/26, 3/25, 1/15",allrounder
Daniel Kumar,75,63,1243,122,26.75,140.24,10,1,"34, 32, 38, 29, 24",49,130.3,43,12.24,4.69,16.16,"1/19, 0/13, 1/8, 2/15, 1/21",allrounder
Emmanuel Brown,113,91,3200,100,48.23,130.25,15,3,"39, 5, 3, 6, 6",54,119,95,24.9,8.12,22.09,"2/38, 1/19, 3/21, 2/22, 1/18",allrounder
Emmanuel Dlamini,104,79,1999,80,33.98,127.85,19,0,"41, 28, 30, 16, 43",69,191.5,81,27.45,10.4,18.22,"0/28, 2/26, 2/18, 0/29, 1/27",allrounder
Lucas Jones,340,213,1251,13,16.54,151.08,1,0,"10, 18, 8, 26, 1",340,587.4,316,31.93,8.82,14.46,"0/25, 0/38, 1/18, 1/31, 1/24",bowler
Omar Mehta,254,225,2,19,12.13,62.63,0,0,"11, 3, 3, 17, 14",254,400.3,230,35.71,5.72,29.47,"1/24, 0/15, 0/18, 0/26, 0/24",bowler
Pedro Torres,227,188,816,22,33.92,136.31,3,0,"18, 12, 18, 16, 5",227,259.5,233,20.88,5.7,22.21,"1/12, 1/9, 1/21, 0/16, 1/19",bowler
Lucas Brown,112,89,375,24,19.19,99.75,0,0,"15, 23, 11, 18, 4",112,217.5,100,30.97,8.51,23.68,"0/20, 0/10, 0/11, 2/16, 0/17",bowler
Lucas Anderson,99,82,755,10,31.01,156.43,0,0,"16, 25, 22, 25, 28",99,219.5,82,45.01,6.89,24.25,"0/33, 1/25, 0/14, 1/40, 1/18",bowler
Ethan Iyer,153,125,1441,16,13.19,117.53,1,1,"0, 27, 26, 24, 23",153,206.2,138,31.11,7.98,27.13,"1/19, 1/34, 2/30, 2/13, 2/32",bowler
Emmanuel Tanaka,349,276,6556,100,34.27,152.78,50,3,"42, 54, 31, 8, 27",234,545,177,23.15,8.81,18.31,"2/25, 0/18, 0/11, 0/18, 0/22",allrounder
Hiroshi Okoro,338,302,11189,119,33.63,127.18,75,12,"62, 72, 72, 41, 54",22,33.4,5,29.49,5.87,15.58,,batter
Emmanuel Williams,194,169,2314,128,21.09,109.03,11,1,"26, 0, 27, 0, 32",28,28,4,17.77,7.63,16.69,,batter
Farhan Deshmukh,310,246,5334,106,26.71,133.86,23,8,"2, 36, 32, 11, 27",45,62.3,23,52.54,10.34,19.6,,batter
Victor Moretti,163,132,1233,6,28.23,103.41,0,0,"22, 9, 14, 22, 20",163,277.3,132,29.26,7.78,40.21,"1/28, 0/27, 0/10, 3/17, 0/23",bowler
Zhang Lopez,208,128,1728,116,24.71,140.96,15,5,"24, 21, 14, 17, 5",21,18.2,3,26.21,7.42,18.17,,batter
Nikhil Brown,169,135,711,11,30.25,129.1,0,0,"20, 10, 12, 4, 0",169,242,202,23.17,6.1,13.4,"1/6, 1/20, 0/19, 1/22, 1/20",bowler
Mateo Williams,161,99,764,20,27.99,162.03,3,0,"23, 11, 10, 16, 3",161,309.1,159,15.32,6.63,19.45,"1/20, 1/22, 1/17, 2/15, 0/18",bowler
Arjun Patel,68,53,719,55,18.67,156.31,10,0,"34, 13, 19, 18, 5",28,36.3,6,32.97,11.11,17.49,,batter
Wei Kumar,289,260,1244,7,17.17,134.93,2,1,"14, 24, 29, 8, 20",289,337.5,288,19.73,5.68,14.85,"0/30, 2/19, 0/9, 1/14, 1/29",bowler
Noah Moretti,277,212,2563,108,16.88,106.12,32,10,"17, 34, 29, 8, 13",49,83.2,23,60.67,8.43,21.92,,batter
George Fernandez,304,226,4360,104,30.1,131.8,36,9,"6, 5, 35, 21, 4",25,27.1,8,30.55,9.91,22.4,,batter
Victor Mendes,135,94,880,89,10.16,115,9,0,"7, 3, 8, 0, 20",78,229.5,79,17.33,8.39,15.52,"5/30, 2/17, 2/16, 0/16, 3/17",allrounder
Hiroshi Brown,195,124,2588,109,22.98,118.3,25,2,"29, 20, 16, 46, 31",0,0,0,0,0,0,,batter
Omar Kumar,128,105,3623,124,42.17,129.64,21,5,"64, 32, 0, 58, 37",26,20.1,7,21.64,7.9,16.8,,batter
Ayaan Sharma,33,22,554,7,30.66,110.67,1,0,"19, 18, 18, 11, 4",33,57.2,26,17.87,8.78,14.47,"0/21, 0/31, 2/11, 2/19, 3/21",bowler
Carlos Nguyen,176,112,900,31,26.22,125.15,3,0,"9, 16, 4, 21, 15",176,442,152,40.17,8.61,24.23,"0/33, 1/31, 1/22, 1/25, 0/20",bowler
Noah Tanaka,22,16,184,129,16.34,113.3,1,1,"8, 26, 25, 0, 2",11,32.1,11,18.6,10.2,22.89,,batter
Farhan Johnson,238,200,1067,37,19.36,154.27,0,0,"6, 27, 8, 2, 14",238,266.5,210,37.83,9.46,30.22,"0/23, 0/24, 1/36, 0/26, 0/22",bowler
Chinedu Tanaka,158,130,3870,104,34.11,214.2,22,3,"32, 50, 34, 5, 8",24,20,4,19.97,6.2,22.98,,batter
Zhang Anderson,38,23,427,101,29.65,119.27,5,1,"25, 37, 2, 34, 17",0,0,0,0,0,0,,batter
George Jones,230,169,1393,32,20.66,114.94,1,0,"15, 17, 13, 2, 11",230,361.5,209,28.1,6.02,24.29,"1/28, 0/25, 3/22, 1/14, 0/20",bowler
Anil Costa,51,39,343,5,19.67,102.28,0,0,"8, 27, 6, 8, 12",51,81.2,50,36.48,7.5,27.05,"1/26, 2/23, 1/9, 0/27, 0/20",bowler
Akash Torres,264,209,766,12,18.3,125.42,0,1,"17, 4, 12, 3, 1",264,439.1,288,20.18,8.56,16.69,"1/12, 1/17, 2/19, 0/28, 0/31",bowler
Emmanuel Garcia,283,225,1248,36,22.44,117.17,0,1,"15, 8, 8, 5, 10",283,413.3,296,19.3,8.84,13.81,"1/33, 3/30, 0/17, 1/22, 1/26",bowler
Arjun Chukwu,27,19,252,95,18.27,146.49,2,0,"9, 6, 4, 29, 18",12,26.2,23,23.14,6.89,15.24,"2/22, 1/12, 5/19, 3/38, 3/5",allrounder
Haruto Torres,226,174,292,8,12.39,66.15,0,0,"21, 23, 21, 0, 3",226,540.2,200,13.77,7.66,14.5,"0/11, 1/26, 1/20, 2/24, 2/24",bowler
Henry Silva,277,206,4222,105,30.12,138.55,49,7,"31, 31, 3, 31, 25",21,24.2,4,30.58,8.5,22.6,,batter
Nikhil Dlamini,286,248,889,34,27.09,139.58,0,0,"12, 22, 12, 12, 1",286,731.3,229,13.67,5.65,16.76,"1/23, 1/15, 1/6, 1/19, 2/7",bowler
Lucas Deshmukh,97,74,789,117,13.26,186.27,17,2,"24, 11, 2, 2, 9",29,40.5,13,30.64,8.75,28.62,,batter
Zhang Patel,284,208,1346,10,24.4,125.3,2,0,"8, 23, 7, 6, 3",284,454.4,250,20.11,6.65,16.41,"2/16, 1/27, 0/18, 0/32, 1/21",bowler
Moses Lopez,317,229,4653,113,27.25,109.5,42,10,"47, 24, 3, 23, 5",0,0,0,0,0,0,,batter
Farhan Dlamini,304,235,8561,70,45.41,123.69,50,0,"37, 70, 70, 70, 31",0,0,0,0,0,0,,batter
Julian Mensah,147,124,1764,115,30.18,190.41,25,5,"6, 8, 29, 26, 20",70,167.1,105,28.22,5.48,26.23,"0/27, 0/22, 0/15, 0/12, 0/13",allrounder
Zhang Ali,4,3,45,92,26.03,138.2,1,0,"37, 20, 34, 10, 0",2,5,2,31.46,6.68,21.78,"0/22, 0/13, 0/18, 1/20, 1/13",allrounder
Ayaan Dlamini,35,28,1051,23,25.31,117.47,0,0,"17, 2, 27, 5, 11",35,46.3,40,23.67,5.79,26.66,"0/9, 0/25, 1/10, 1/16, 0/19",bowler
Liam Ali,192,158,1479,36,24.43,147.65,3,0,"11, 20, 27, 7, 21",192,344.5,157,32.56,10.01,33.19,"1/25, 2/30, 2/16, 2/31, 2/19",bowler
Omar Nguyen,49,37,1143,115,42.53,117.93,4,2,"39, 6, 1, 17, 37",17,20.1,9,35.52,11.31,30.67,,batter
Mateo Adeyemi,17,12,195,56,19.87,138.74,2,0,"2, 1, 25, 0, 28",0,0,0,0,0,0,,batter
Rohan Reddy,172,148,2886,114,33.08,110.85,10,4,"13, 9, 73, 27, 40",22,16.3,3,17.82,7.94,16.72,,batter
Liam Tanaka,220,160,1496,13,25.57,159.73,2,0,"21, 0, 3, 20, 27",220,267.4,240,28.81,5.87,20.13,"1/24, 0/27, 0/25, 0/15, 1/21",bowler
Rajiv Taylor,158,117,1096,16,19.67,156.25,1,1,"10, 2, 12, 24, 16",158,398.4,155,31.18,10.33,22.7,"2/29, 2/29, 1/32, 1/25, 0/33",bowler
Carlos Smith,46,41,1507,15,31.38,156.15,2,0,"21, 21, 9, 20, 11",46,113.5,39,19.04,9.11,14.83,"2/29, 2/34, 1/32, 3/19, 0/20",bowler
Marcus Diallo,6,4,61,67,25.04,157.46,1,0,"26, 23, 17, 4, 23",26,38.2,6,20.77,5.17,29.85,,batter
Lucas Smith,99,65,1126,110,23.86,144.6,16,3,"29, 2, 32, 27, 45",51,125.5,85,16.77,11.95,9.62,"2/25, 1/28, 2/34, 4/28, 1/22",allrounder
Haruto Taylor,233,167,10,20,10.96,60.78,0,0,"14, 20, 9, 13, 12",233,441.4,190,16.97,7.83,14.22,"0/23, 1/19, 1/29, 0/32, 1/17",bowler
Rafael Deshmukh,37,33,61,5,14.05,79.44,0,0,"4, 5, 23, 1, 21",37,61.5,37,19.08,10,13.4,"3/21, 0/29, 1/25, 2/37, 2/32",bowler
Nikhil Kumar,280,174,933,25,29.2,143.2,1,0,"16, 3, 13, 9, 2",280,813.2,249,23.26,5.74,20.67,"0/16, 0/29, 0/19, 1/13, 0/18",bowler
Julian Smith,349,210,870,34,29.69,134.67,1,0,"24, 2, 14, 5, 16",349,463.4,357,36.67,8.5,27.51,"1/50, 1/30, 0/36, 2/17, 2/24",bowler
Rohan Ali,302,186,2203,106,17.61,150.63,31,6,"21, 13, 15, 26, 0",22,37,4,20.84,6.32,19.69,,batter
Kofi Adeyemi,181,113,2800,124,36.14,138.93,9,3,"38, 0, 24, 38, 38",19,22.4,6,17.99,9.74,15.54,,batter
Kwame Watanabe,95,58,152,17,13.78,107.52,0,0,"11, 21, 19, 23, 28",95,165.3,112,25.23,7.96,22.52,"0/17, 0/20, 0/9, 1/32, 1/18",bowler
Pedro Dlamini,99,74,997,117,18.6,114.85,9,2,"4, 0, 6, 14, 21",23,22.3,6,30.76,7.79,20.13,,batter
Akash Okoro,188,146,1999,122,12.86,116.05,20,3,"4, 6, 8, 0, 19",0,0,0,0,0,0,,batter
Farhan Torres,116,79,1643,116,30.11,154.17,15,1,"46, 54, 25, 6, 37",26,58.4,12,41.63,10.45,37.12,,batter
Suraj Mendes,191,137,2563,128,20.72,180.64,16,2,"42, 26, 16, 16, 4",16,25.1,6,30.52,7.65,21,,batter
Marcus Costa,253,159,1258,105,12.43,131.3,16,4,"16, 6, 4, 13, 1",108,294.5,205,17.77,5.68,14.64,"1/10, 2/12, 0/10, 2/22, 3/18",allrounder
Ethan Lopez,161,113,198,38,8.01,88.83,0,0,"10, 24, 3, 25, 27",161,633.2,147,17.18,4.35,24.31,"1/25, 0/15, 3/19, 0/17, 0/11",bowler
